ID;OBJETO_OBRA;CANTIDAD_OBJETOS;MATERIAL;DENOMINACION_SIMBOLIZA;AUTORES;UBICACION;OBSERVACIONES;DIRECCION_NORMALIZADA;CALLE;ALTURA;BARRIO;COMUNA;CODIGA_POSTAL;CODIGO_POSTAL_ARGENTINO;LATITUD;LONGITUD
1602;MONUMENTO;1;BRONCE Y GRANITO;GRL.JOSE GERVASIO DE ARTIGAS;ZORRILLA DE SAN MARTINN;PLAZA REPUBLICA DEL URUGUAY;PLAZA REPUBLICA DEL URUGUAY;DEL LIBERTADOR AV. 1702;DEL LIBERTADOR AV.;1702;RECOLETA;COMUNA 2;1425;C1425AAQ;-34.58319728;-58.39752727
1661;MONUMENTO;1;BRONCE Y GRANITO;DR. RODRIGUEZ PE?A;EBERLEIN, GUSTAVO;PLAZA RODRIGUEZ PEÑA;PLAZA RODRIGUEZ PE?A;CALLAO AV. 965;CALLAO AV.;965;RECOLETA;COMUNA 2;1023;C1023AAC;-34.59755468;-58.39305326
1674;MONUMENTO;1;MARMOL;JOSE MAZZINI;MONTEVERDE, JULIO;PLAZA ROMA;PLAZA ROMA;LAVALLE Y ALEM, LEANDRO N. AV.;LAVALLE;;SAN NICOLAS;COMUNA 1;;;-34.60187574;-58.37019846
1741;MONUMENTO;1;BRONCE Y GRANITO;GRL.SAN MARTINN Y EJERCITO LIBERTADOR;DAUMAS,J.-EBERLEIN,G;PLAZA SAN MARTINN;PLAZA SAN MARTINN;DEL LIBERTADOR AV. 2;DEL LIBERTADOR AV.;2;RETIRO;COMUNA 1;1001;C1001ABN;-34.59368281;-58.37410054
1783;MONUMENTO;1;BRONCE;SAN MARTINN DE TOURS;BUCCI, ERMANDO;AV ALVEAR 2136;AV ALVEAR 2136;ALVEAR AV. 2136;ALVEAR AV.;2136;RECOLETA;COMUNA 2;1129;C1129AAQ;-34.58565624;-58.39026165
3;MONUMENTO;1;GRANITO Y BRONCE;SIRIOS A LA ARGENTINA;AFFANI, GARIBALDI;PZTA DR CARLOS ALBERTO ERRO;PZTA DR CARLOS ALBERTO ERRO;MADERO, EDUARDO AV. Y SARMIENTO;MADERO, EDUARDO AV.;;SAN NICOLAS;COMUNA 1;;;-34.60405133;-58.36805535
4;MONUMENTO;1;BRONCE Y GRANITO;PRO CULTURA NACIONAL;AFFANI, GARIBALDI;;;DEL LIBERTADOR AV. Y CALLAO AV.;DEL LIBERTADOR AV.;;RECOLETA;COMUNA 2;;;-34.58658516;-58.3858523
5;MONUMENTO;1;MARMOL Y PIEDRA;GERMAN BURMEISTER;AIGNER, RICARDO;PARQUE DEL CENTENARIO;PARQUE DEL CENTENARIO;DIAZ VELEZ AV. 4800;DIAZ VELEZ AV.;4800;CABALLITO;COMUNA 6;1405;C1405DCP;-34.60866562;-58.43480424
10;MONUMENTO;1;BRONCE;CRISTOBAL COLON;VASSILICOS, JOSEFA A. DE;PLAZA MARTIN DE IRIGOYEN;PLAZA MARTIN DE IRIGOYEN;FONROUGE 301;FONROUGE;301;LINIERS;COMUNA 9;1408;C1408HFG;-34.64236693;-58.51236717
12;MONUMENTO;1;BRONCE Y PIEDRA;ARGENTINA Y SUIZA UNIDAS SOBRE EL MUNDO;AMLEHN, FRANZ SALES;;;DORREGO AV. 4045;DORREGO AV.;4045;PALERMO;COMUNA 14;1425;C1425GBE;-34.56290084;-58.41704703
